Image:;1650.jpg;1650.jpg;2045.jpg;2045.jpg;4220.jpg;4220.jpg;5825.jpg;5825.jpg;5833.jpg;5833.jpg;7405.jpg;7405.jpg;8179.jpg;8179.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;370;554;546;451;672;597;463;281;352;512;621;388;271;605;
Aval. Resp:;6;8;6;6;5;6;5;3;2;3;3;5;6;4;


Image:;8185.jpg;8185.jpg;8420.jpg;8420.jpg;8501.jpg;8501.jpg;1710.jpg;1710.jpg;2340.jpg;2340.jpg;4250.jpg;4250.jpg;5210.jpg;5210.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;646;444;648;718;311;493;585;583;315;650;503;627;452;583;
Aval. Resp:;9;2;5;2;2;7;7;4;1;5;1;4;8;5;


Image:;5600.jpg;5600.jpg;5622.jpg;5622.jpg;5830.jpg;5830.jpg;5849.jpg;5849.jpg;7220.jpg;7220.jpg;8540.jpg;8540.jpg;1441.jpg;1441.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;561;448;268;288;545;646;585;512;628;401;495;376;461;292;
Aval. Resp:;2;8;1;4;7;3;2;5;3;9;2;9;8;2;


Image:;1750.jpg;1750.jpg;2360.jpg;2360.jpg;2530.jpg;2530.jpg;5594.jpg;5594.jpg;5760.jpg;5760.jpg;5779.jpg;5779.jpg;7475.jpg;7475.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;297;382;533;543;747;372;617;567;521;595;644;731;301;421;
Aval. Resp:;7;4;6;1;3;8;5;2;7;2;1;4;2;9;


Image:;7900.jpg;7900.jpg;8205.jpg;8205.jpg;1321.jpg;1321.jpg;1726.jpg;1726.jpg;3302.jpg;3302.jpg;4232.jpg;4232.jpg;4664.1.jpg;4664.1.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;658;359;450;531;321;540;593;714;558;649;570;737;320;735;
Aval. Resp:;1;5;1;4;7;4;1;7;3;1;3;3;2;8;


Image:;5950.jpg;5950.jpg;6910.jpg;6910.jpg;7640.jpg;7640.jpg;8160.jpg;8160.jpg;8475.jpg;8475.jpg;1112.jpg;1112.jpg;1908.jpg;1908.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;410;463;541;359;266;640;688;684;560;488;306;679;294;399;
Aval. Resp:;1;2;6;1;6;7;5;4;1;9;4;6;1;1;


Image:;3210.jpg;3210.jpg;4225.jpg;4225.jpg;7137.jpg;7137.jpg;7461.jpg;7461.jpg;7505.jpg;7505.jpg;7510.jpg;7510.jpg;8118.jpg;8118.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;355;632;643;659;338;340;360;277;250;456;656;461;678;398;
Aval. Resp:;4;2;3;4;6;3;6;2;4;5;8;2;1;5;


Image:;9402.jpg;9402.jpg;1333.jpg;1333.jpg;2359.jpg;2359.jpg;2377.jpg;2377.jpg;4534.jpg;4534.jpg;5471.jpg;5471.jpg;5500.jpg;5500.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;644;368;364;698;657;276;395;409;345;328;570;408;545;316;
Aval. Resp:;6;3;9;2;3;9;9;7;8;3;4;9;1;5;


Image:;7160.jpg;7160.jpg;7351.jpg;7351.jpg;8312.jpg;8312.jpg;9401.jpg;9401.jpg;1120.jpg;1120.jpg;3000.jpg;3000.jpg;3170.jpg;3170.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;432;742;500;328;644;375;433;732;350;342;443;535;398;607;
Aval. Resp:;6;6;9;9;6;9;9;5;6;2;6;6;5;5;


Image:;5971.jpg;5971.jpg;6230.jpg;6230.jpg;6350.jpg;6350.jpg;8230.jpg;8230.jpg;9075.jpg;9075.jpg;9321.jpg;9321.jpg;9412.jpg;9412.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;307;500;667;536;455;675;421;693;415;648;299;657;398;532;
Aval. Resp:;7;3;5;5;8;4;2;7;6;7;7;7;6;4;


Image:;2455.jpg;2455.jpg;2457.jpg;2457.jpg;2799.jpg;2799.jpg;3190.jpg;3190.jpg;5970.jpg;5970.jpg;7136.jpg;7136.jpg;8231.jpg;8231.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;448;591;293;326;651;707;285;343;427;368;443;290;643;709;
Aval. Resp:;7;3;6;1;1;4;6;1;9;4;2;9;1;7;


Image:;9373.jpg;9373.jpg;9470.jpg;9470.jpg;9610.jpg;9610.jpg;2206.jpg;2206.jpg;2400.jpg;2400.jpg;2491.jpg;2491.jpg;2520.jpg;2520.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;393;643;352;606;662;322;616;478;351;314;632;461;721;406;
Aval. Resp:;4;4;9;3;9;1;7;3;7;7;7;9;4;5;


Image:;7054.jpg;7054.jpg;7078.jpg;7078.jpg;9045.jpg;9045.jpg;9110.jpg;9110.jpg;9331.jpg;9331.jpg;9360.jpg;9360.jpg;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;572;279;264;591;372;730;336;427;426;701;654;571;
Aval. Resp:;5;8;3;8;9;2;5;1;5;1;1;2;


